"Bird.Count" "Lat" "Lon" "month" "year"
"4923" 0 25.3659833333333 -80.7175166666667 4 1996
"4924" 0 25.35695 -80.7473333333333 4 1996
"4925" 0 25.3569666666667 -80.7374 4 1996
"4926" 0 25.35695 -80.7273833333333 4 1996
"4927" 0 25.3569666666667 -80.7175166666667 4 1996
"4928" 0 25.3569833333333 -80.7076833333333 4 1996
"4929" 0 25.3570166666667 -80.6976833333333 4 1996
"4930" 0 25.3570333333333 -80.6878166666667 4 1996
"4931" 0 25.3570666666667 -80.6779333333333 4 1996
"4932" 0 25.35705 -80.668 4 1996
"4933" 0 25.35705 -80.6582 4 1996
"4934" 0 25.3570333333333 -80.6481833333333 4 1996
"4935" 0 25.3570333333333 -80.6383 4 1996
"4936" 0 25.357 -80.6284666666667 4 1996
"4937" 2 25.3479 -80.7473166666667 4 1996
"4938" 0 25.3479166666667 -80.7374 4 1996
"4939" 4 25.3479333333333 -80.7274 4 1996
"4941" 0 25.3480166666667 -80.6878166666667 4 1996
"4942" 0 25.34805 -80.6382833333333 4 1996
"4943" 0 25.3480166666667 -80.62845 4 1996
"4944" 1 25.339 -80.7473166666667 4 1996
"4945" 1 25.3390333333333 -80.7374 4 1996
"4946" 1 25.3390166666667 -80.7274166666667 4 1996
"4947" 2 25.3390333333333 -80.7175333333333 4 1996
"4948" 0 25.33905 -80.6383666666667 4 1996
"4949" 0 25.3300166666667 -80.7473166666667 4 1996
"4950" 0 25.3300166666667 -80.7374166666667 4 1996
"4952" 0 25.33005 -80.7175333333333 4 1996
"4953" 0 25.33005 -80.7076666666667 4 1996
"4954" 3 25.3209166666667 -80.7472833333333 4 1996
"4955" 3 25.32095 -80.7374 4 1996
"4956" 0 25.32095 -80.7274 4 1996
"4959" 3 25.3119833333333 -80.7472666666667 4 1996
"4960" 4 25.3119833333333 -80.7373666666667 4 1996
"4961" 2 25.3119833333333 -80.7273833333333 4 1996
"4962" 0 25.3119833333333 -80.7175 4 1996
"4963" 5 25.3120166666667 -80.7076333333333 4 1996
"4964" 0 25.3029333333333 -80.7472666666667 4 1996
"4965" 2 25.3029333333333 -80.7373666666667 4 1996
"4966" 3 25.3029166666667 -80.72745 4 1996
"4967" 1 25.3029166666667 -80.7076833333333 4 1996
"4968" 1 25.2939833333333 -80.74725 4 1996
"4969" 0 25.294 -80.7373666666667 4 1996
"4970" 1 25.294 -80.7273833333333 4 1996
"4971" 2 25.2940166666667 -80.71745 4 1996
"4972" 3 25.2939833333333 -80.7076666666667 4 1996
"4973" 0 25.2851333333333 -80.74725 4 1996
"4974" 0 25.2851333333333 -80.7373666666667 4 1996
"4975" 3 25.285 -80.7272166666667 4 1996
"4976" 0 25.285 -80.7172333333333 4 1996
"4977" 0 25.285 -80.6978666666667 4 1996
"4978" 0 25.33 -80.69775 4 1996
"4979" 0 25.2936 -80.69785 4 1996
"4980" 0 25.3917333333333 -80.7475 4 1997
"4981" 0 25.3917666666667 -80.7375833333333 4 1997
"4982" 0 25.3918166666667 -80.72755 4 1997
"4983" 0 25.3830333333333 -80.7474833333333 4 1997
"4984" 0 25.3830333333333 -80.73755 4 1997
"4985" 0 25.3830333333333 -80.7275666666667 4 1997
"4986" 0 25.38305 -80.7177666666667 4 1997
"4989" 1 25.3749 -80.80675 4 1997
"4990" 0 25.3749333333333 -80.7968833333333 4 1997
"4992" 0 25.37495 -80.77705 4 1997
"4993" 0 25.37495 -80.7671666666667 4 1997
"4994" 2 25.375 -80.7572 4 1997
"4995" 0 25.3659333333333 -80.8264833333333 5 1997
"4996" 0 25.3659666666667 -80.8166666666667 4 1997
"4997" 0 25.36595 -80.80665 4 1997
"4998" 0 25.3659833333333 -80.7968 4 1997
"4999" 0 25.366 -80.7867833333333 4 1997
"5000" 0 25.3659833333333 -80.7769666666667 4 1997
"5001" 2 25.366 -80.7670666666667 4 1997
"5002" 4 25.3659833333333 -80.7572 4 1997
"5004" 1 25.357 -80.8165666666667 4 1997
"5005" 3 25.3569833333333 -80.80655 4 1997
"5006" 3 25.357 -80.7967166666667 4 1997
"5008" 0 25.3570166666667 -80.7768833333333 4 1997
"5011" 1 25.3480166666667 -80.8263 5 1997
