SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
TRIN,DFW,08057431,"Fivemile Ck nr Simpson Stuart Rd, Dallas, TX",18.31076,103.6455,28.84,6.99,14.82,5.03,108.986695,124.8483,230.4414,180.8288,105.5931,0.175,0.116,51.2035,0.32,1.859,0.572,10480.578,4719.98,ECO_32
TRIN,DFW,08057475,"Parsons Slough nr Davis Rd nr Crandall, TX",18.45676,103.2023,28.96,7.12,14.22,5.20,115.7206638,106.5668,165.813,126.0972,59.2462,0.171,0.121,52.883,0.321,1.507,0.492,9633.747,4086.816,ECO_32
TRIN,DFW,08059530,"Tickey Ck nr CR 400 nr Princeton, TX",17.74385,111.2528,28.57,6.21,14.99,4.62,26.8063758,157.851,206.6906,181.8028,48.8396,0.172,0.116,52.6955,0.322,1.888,0.625,11990.046,4766.938,ECO_32
TRIN,DFW,08059571,"Wilson Ck nr Gray Branch Rd nr Mckinney, TX",17.64844,111.0492,28.57,6.06,15.49,4.94,80.96302488,178.5974,246.8912,219.4222,68.2938,0.179,0.123,40.2725,0.3175,0.956,0.306,6016.78,2651.585,ECO_32
TRIN,DFW,08061536,"Spring Ck at Naaman School Rd nr Garland, TX",17.91386,105.8105,28.64,6.46,15.01,4.70,91.08987796,145.1472,238.4329,196.0877,93.2857,0.173,0.119,52.411,0.322,1.716,0.565,10984.744,4490.86,ECO_32
TRIN,DFW,08061740,"Duck Ck at Town East Blvd nr Mesquite, TX",18.15642,105.3628,28.80,6.75,14.97,4.98,102.3304259,124.855,207.9371,168.2683,83.0821,0.165,0.109,41.6305,0.33,1.554,0.577,9720.824,3422.008,ECO_32
TRIN,DFW,08061780,"Buffalo Ck nr Trinity Rd at Forney, TX",18.07099,109.2842,28.65,6.69,14.42,5.38,88.16319152,117.2969,186.8644,153.8982,69.5675,0.175,0.119,50.5175,0.322,1.655,0.541,10669.187,4469.508,ECO_32
TRIN,DFW,08061952,"South Mesquite Ck at Lawson Rd nr Mesquite, TX",18.32159,105.3545,28.89,6.95,14.85,5.13,64.6202006,115.7659,181.3632,149.5595,65.5973,0.174,0.113,51.817,0.3175,2.127,0.639,10496.844,4915.734,ECO_32
TRIN,DFW,08061995,"Mustang Ck at Fm 2757 nr Crandall, TX",18.21795,107.1349,28.73,6.88,14.21,5.31,42.9938008,112.7092,165.333,139.9897,52.6238,0.175,0.118,49.596,0.323,1.716,0.566,11066.475,4548.83,ECO_32
TRIN,DFW,08062020,"Buffalo Ck nr Fm 148 nr Crandall, TX",18.22652,106.6487,28.70,6.90,13.93,5.27,58.94812688,109.679,162.0216,135.3757,52.3426,0.167,0.111,33.832,0.351,1.07,0.409,6691.833,2529,ECO_32
