"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"73","SLC","GRSL",404143111500101,5.19248,10.43057,65.6695,5.325581395,67.53791803
"74","SLC","GRSL",404218111525601,0.4712602,11.14604,59.9393,6.228571429,100
"75","SLC","GRSL",404317111503601,0.9017652,10.14125,66.9991,6.375,51.04873559
"76","SLC","GRSL",404349111512201,6.796528,10.41168,63.952,6.235294118,60.06623992
"77","SLC","GRSL",404430111495301,9.053376,10.19985,65.4271,6.333333333,40.19933984
"78","SLC","GRSL",405854111534801,1.08969,10.41957,62.9108,6.375,34.59566124
"79","SLC","GRSL",410041111581101,7.810146,10.41556,64.0995,5.848484848,41.12781156
"80","SLC","GRSL",410148111535301,4.504505,9.374179,71.6679,3.983050847,0
"81","SLC","GRSL",410231111565001,11.1806078,10.07199,66.9393,6.166666667,57.58799899
"82","SLC","GRSL",410250111571501,18.524311,10.10005,66.7661,6.1714,40.71245061
"83","SLC","GRSL",410342111574201,16.1873024,9.790443,68.1223,6.625,52.61128742
"84","SLC","GRSL",410453111570001,16.07268436,9.60524,69.0235,6.113636364,46.79937072
"85","SLC","GRSL",410501111555201,6.590843,9.619557,69.0197,6.05,51.93928872
"86","SLC","GRSL",410522111541201,0,4.109386,115.2334,4.266666667,0.108501804
"87","SLC","GRSL",411407111580501,7.765419,9.040518,73.3255,5.781842105,49.98598905
"88","SLC","GRSL",411413111554601,4.995005,7.461427,86.3472,4.675,20.99427189
"89","SLC","GRSL",411413111564101,10.52478,8.603803,76.8156,5.088888889,33.71289216
"90","SLC","GRSL",414258111502001,9.1338584,8.279468,51.8872,4.454545455,62.42425216
"91","BIR","MOBL",2397939,19.181957,14.81925,150.5394,5.026444444,4.569745794
"92","BIR","MOBL",2398001,6.0727967,15.17256,151.5479,6.031825397,35.09997468
"93","BIR","MOBL",2400675,2.9577882,14.66441,148.6747,5.742571429,30.68328505
"94","BIR","MOBL",2400725,17.480233,14.85199,146.8744,5.407901235,3.198818143
"95","BIR","MOBL",2400800,22.59783,15.11112,145.3405,5.621212121,5.910283099
"96","BIR","MOBL",2401350,16.479368,15.52301,151.4869,5.770119048,4.129185243
"97","BIR","MOBL",2401355,18.0625788,15.70582,148.622,4.705833333,10.43881754
"98","BIR","MOBL",2401749,8.169025,15.77967,143.1254,5.521801802,22.52502874
"99","BIR","MOBL",2401760,8.381537,15.63712,146.0266,5.45683908,8.910307166
"100","BIR","MOBL",2403380,1.0043071,15.82762,145.4091,6.973888889,32.37815387
"101","BIR","MOBL",2406930,8.619938,16.62473,143.5905,6.096341463,23.22088031
"102","BIR","MOBL",242339580,20.345062,16.19827,141.2236,5.347757576,16.25039242
"103","BIR","MOBL",2423397,11.412364,16.19675,141.4988,5.031259259,17.70512578
"104","BIR","MOBL",2423515,1.0983165,16.32841,148.1591,6.380952381,48.99479606
"105","BIR","MOBL",2423536,4.347927,16.67191,146.7335,5.690462963,17.78009346
"106","BIR","MOBL",242354650,8.64982,16.49863,146.558,5.40408805,18.30300556
"107","BIR","MOBL",242354750,6.884951,16.5074,146.9453,4.981060606,17.05299046
"108","BIR","MOBL",2423576,1.1610751,16.11389,147.1119,6.4225,30.85588293
"109","BIR","MOBL",2423581,1.1945828,16.14641,147.104,6.699393939,25.73210314
"110","BIR","MOBL",2423590,3.0330325,16.3259,147.105,7.087241379,46.50774303
"111","BIR","MOBL",2423620,1.61169761,16.4894,148.0889,5.447356322,8.639722421
"112","BIR","MOBL",2423729,15.42593,16.80789,146.1674,5.031587302,8.804797235
"113","BIR","MOBL",242372950,34.74392,16.74519,146.9018,5.245128205,7.379889381
"114","BIR","MOBL",2456900,1.1030072,15.91332,148.2914,6.198,46.85412967
"115","BIR","MOBL",2456980,1.1782768,16.0152,147.3525,5.469716312,34.63097788
"116","BIR","MOBL",2458150,4.0653493,16.07654,147.1266,6.562626263,47.88237794
"117","BIR","MOBL",2461200,0.4975812,16.50649,143.9981,6.554615385,73.34595504
"118","BIR","MOBL",2461670,16.271479,16.6721,149.0465,5.388405797,16.64705939
"119","BOS","NECB",1072540,11.5656405,7.343891,127.0129,4.474139785,3.444231257
"120","BOS","NECB",1072650,9.715012,7.737813,126.1022,4.021820175,7.87758681
"121","BOS","NECB",1072845,5.7158004,7.614109,127.1846,4.42245614,3.578282739
"122","BOS","NECB",1072904,9.452939,8.217413,117.7189,4.811235119,7.110296296
"123","BOS","NECB",1073260,6.3068823,7.894763,122.5952,4.673404472,2.748252038
"124","BOS","NECB",1073458,6.2992223,8.021586,120.4666,4.477349398,3.941891258
"125","BOS","NECB",10734833,3.5360065,8.188313,117.3165,4.193938356,4.506298654
"126","BOS","NECB",1089743,7.9075633,7.589587,127.8726,4.10099537,4.251560063
"127","BOS","NECB",1090477,6.0495775,7.796537,115.8631,4.400919913,4.119552099
"128","BOS","NECB",1094005,7.2798776,8.148045,115.4026,4.643320313,6.960313546
"129","BOS","NECB",1095220,9.0728164,7.958818,124.3266,4.23879845,4.797683067
"130","BOS","NECB",1096544,9.944327,8.794436,120.1635,4.790516667,15.28047994
"131","BOS","NECB",10965852,9.249525,8.408139,119.9925,4.724071429,20.01894684
"132","BOS","NECB",1096710,5.8738983,8.779476,120.5149,5.189730769,21.42243372
"133","BOS","NECB",1096945,12.336432,8.75765,121.1985,5.282761194,9.013780944
"134","BOS","NECB",1097270,8.5544939,8.909693,121.7857,4.993040936,14.92005594
"135","BOS","NECB",1097476,6.253392,9.038047,121.8817,5.249021164,15.86171639
"136","BOS","NECB",1101500,3.1796713,9.48084,123.0612,5.546728395,26.9215113
"137","BOS","NECB",1102345,1.77831456,9.688122,122.4736,5.823627451,44.45625518
"138","BOS","NECB",1102500,1.902796,9.573009,121.5167,6.785916667,52.23849223
"139","BOS","NECB",11032058,5.487977,9.277867,124.2639,5.274111111,25.18357793
"140","BOS","NECB",1105000,4.6928345,9.636638,121.9312,5.385112179,24.91564839
