volume	n.cT	Ev.ID	MSrcCat	M.WTP.Type	ICR.PWSID
10	0	8778	SW	Y	AL0000729
10.75	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.75	0	8778	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
11	0	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10.5	1	8779	SW	Y	AL0000729
10	0	8779	SW	Y	AL0000729
10	0	8778	SW	Y	AL0000729
10.25	0	8779	SW	Y	AL0000729
11	0	8778	SW	Y	AL0000729
10.5	0	10723	EMPTY	Y	AL0000763
10	0	10723	EMPTY	Y	AL0000763
10.25	0	10723	EMPTY	Y	AL0000763
10	0	10723	EMPTY	Y	AL0000763
10.25	0	10723	EMPTY	Y	AL0000763
10	0	10723	EMPTY	Y	AL0000763
10.25	0	10723	EMPTY	Y	AL0000763
10.25	0	10723	EMPTY	Y	AL0000763
10.5	0	10723	EMPTY	Y	AL0000763
10	0	10723	EMPTY	Y	AL0000763
10.25	0	10723	EMPTY	Y	AL0000763
11	0	8784	SW		AL0000783
10.75	0	8785	SW		AL0000783
11	0	8784	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.25	0	8784	SW		AL0000783
11	0	8785	SW		AL0000783
11	0	8784	SW		AL0000783
10.25	0	8785	SW		AL0000783
11	0	8784	SW		AL0000783
10.5	0	8785	SW		AL0000783
10	0	8784	SW		AL0000783
11	0	8785	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.5	0	8785	SW		AL0000783
10.5	0	8784	SW		AL0000783
11	1	8784	SW		AL0000783
11	7	8784	SW		AL0000783
11	0	8785	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.25	0	8784	SW		AL0000783
10.75	0	8784	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.5	0	8784	SW		AL0000783
11	0	8785	SW		AL0000783
10.5	0	8784	SW		AL0000783
10.75	0	8784	SW		AL0000783
11	0	8785	SW		AL0000783
11	0	8784	SW		AL0000783
10.75	0	8785	SW		AL0000783
11	0	8785	SW		AL0000783
10.75	0	8784	SW		AL0000783
11	0	8785	SW		AL0000783
11	0	8784	SW		AL0000783
10	0	8785	SW		AL0000783
10	0	8784	SW		AL0000783
10.75	0	8785	SW		AL0000783
10.75	0	8784	SW		AL0000783
10.25	0	8786	SW	Y	AL0000798
10.25	0	8786	SW	Y	AL0000798
11	0	8786	SW	Y	AL0000798
11	0	8786	SW	Y	AL0000798
10.5	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.25	0	8786	SW	Y	AL0000798
10.25	0	8786	SW	Y	AL0000798
10.05	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.25	0	8786	SW	Y	AL0000798
10	0	8786	SW	Y	AL0000798
10.5	0	8786	SW	Y	AL0000798
10.75	0	8786	SW	Y	AL0000798
10.5	0	8786	SW	Y	AL0000798
10.5	0	8786	SW	Y	AL0000798
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10.5	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8819	SW	Y	AL0000804
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10.25	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10.25	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10	0	8820	SW	Y	AL0000816
10	0	8821	SW	Y	AL0000816
10.25	0	8827	SW	Y	AL0000820
10.25	0	8827	SW	Y	AL0000820
10.5	0	8827	SW	Y	AL0000820
10.5	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10.25	0	8827	SW	Y	AL0000820
10.25	0	8827	SW	Y	AL0000820
10.5	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
11	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8827	SW	Y	AL0000820
10	0	8788	SW	Y	AL0000833
10.5	0	8788	SW	Y	AL0000833
10	0	8788	SW	Y	AL0000833
10.25	0	8788	SW	Y	AL0000833
10	0	8788	SW	Y	AL0000833
11.5	0	8788	SW	Y	AL0000833
10	0	8788	SW	Y	AL0000833
10.5	0	8788	SW	Y	AL0000833
10	0	8788	SW	Y	AL0000833
