group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
34,none,,35,A,220,0.23,0.104545455,6.571428571
35,cereal,4,31,AN,149,1.66,1.111409396,53.41935484
35,cereal,3.7,31,AN,153,3.67,2.4,118.4516129
36,cereal,3,57,N,100,2.3,2.3,40.35087719
37,grass,3.7,242,AN,210,0.4,0.19047619,1.652892562
37,cereal,3.7,242,AN,70,1.1,1.571428571,4.545454545
37,cereal,3.7,242,AN,70,1.3,1.857142857,5.371900826
38,none,0.5,30,N,100,0.018,0.018,0.6
38,none,0.5,30,A,100,0.153,0.153,5.1
38,none,0.5,30,A,100,0.216,0.216,7.2
38,grass,2.6,30,N,100,0.001,0.001,0.033333333
38,grass,2.6,30,N,100,0.007,0.007,0.233333333
38,grass,2,30,N,100,0.017,0.017,0.566666667
38,grass,2.6,30,N,100,0.071,0.071,2.366666667
38,grass,0.8,30,N,100,0.073,0.073,2.433333333
38,grass,2.6,30,A,100,0.025,0.025,0.833333333
38,grass,0.8,30,A,100,0.053,0.053,1.766666667
38,grass,2.6,30,A,100,0.065,0.065,2.166666667
38,grass,2,30,A,100,0.07,0.07,2.333333333
38,grass,2,30,A,100,0.078,0.078,2.6
38,grass,2.6,30,A,100,0.376,0.376,12.53333333
39,other,,125,none,0,0.19,#DIV/0!,1.52
39,other,,125,AN,133,1.37,1.030075188,10.96
39,corn,,125,none,0,0.51,#DIV/0!,4.08
39,corn,,125,AN,122,1.83,1.5,14.64
40,cereal,,90,U,90,0.738,0.82,8.2
40,cereal,,90,none,0,0.405,#DIV/0!,4.5
41,grass,2.3,150,U,168,0.18,0.107142857,1.2
41,grass,2.3,150,U,168,0.45,0.267857143,3
41,grass,2.3,150,none,0,0.06,#DIV/0!,0.4
41,grass,2.3,150,AN,168,1.155,0.6875,7.7
41,grass,2.3,150,AN,168,11.91,7.089285714,79.4
42,tuber,1,365,AN,165,2.4,1.454545455,6.575342466
42,grass,4,365,UAN,300,2.8,0.933333333,7.671232877
42,grass,3,365,AN,130,4.7,3.615384615,12.87671233
42,grass,2.5,365,AN,260,3,1.153846154,8.219178082
42,grass,2,365,AN,298,5.3,1.77852349,14.52054795
42,grass,2.5,365,AN,300,15.6,5.2,42.73972603
42,grass,2.5,365,AN,300,17.1,5.7,46.84931507
42,grass,2.5,365,AN,315,9.4,2.984126984,25.75342466
42,grass,2.5,365,AN,387,1.7,0.439276486,4.657534247
42,grass,3.5,365,AN,427,27.6,6.463700234,75.61643836
42,cereal,1,365,AN,132,0.7,0.53030303,1.917808219
42,cereal,2.5,365,AN,190,1.2,0.631578947,3.287671233
43,vegetable,,92,UAN,130,9.1,7,98.91304348
43,vegetable,,265,UAN,230,12.2,5.304347826,46.03773585
