length,pcb,n,lgpcb,year,y
25.79,3.3,1,1.193922468,1985,11
25.98,3.9,1,1.360976553,1985,11
26.38,3.4,1,1.223775432,1985,11
26.77,2.3,1,0.832909123,1985,11
27.36,2.8,1,1.029619417,1985,11
28.15,3.6,1,1.280933845,1985,11
28.35,3.7,1,1.30833282,1985,11
31.1,4.9,1,1.589235205,1985,11
32.87,6.4,1,1.85629799,1985,11
33.28,5.3,1,1.667706821,1985,11
25.39,2.5,1,0.916290732,1985,11
28.54,4.2,1,1.435084525,1985,11
26.77165354,3.2,1,1.16315081,1986,12
29.52755906,35.78,1,3.577389078,1986,12
29.13385827,11.44,1,2.437115986,1986,12
28.34645669,3.87,1,1.353254507,1986,12
25.19685039,4.73,1,1.553925203,1986,12
25,3.73,1,1.316408234,1986,12
26.37795276,2.92,1,1.071583616,1986,12
25.19685039,3.1,1,1.131402111,1986,12
24.60629921,2.65,1,0.97455964,1986,12
24.80314961,2.79,1,1.026041596,1986,12
24.60629921,1.23,1,0.207014169,1986,12
23.81889764,1.03,1,0.029558802,1986,12
26.18110236,0.94,1,-0.061875404,1986,12
25.39370079,0.79,1,-0.235722334,1986,12
24.60629921,0.78,1,-0.248461359,1986,12
22.83464567,1.22,1,0.198850859,1986,12
27.55905512,1.26,1,0.231111721,1986,12
24.80314961,1.03,1,0.029558802,1986,12
24.40944882,0.51,1,-0.673344553,1986,12
22.44094488,0.72,1,-0.328504067,1986,12
16.57,2.8,1,1.029619417,1986,12
19.68,1.2,1,0.182321557,1986,12
18,1.4,1,0.336472237,1986,12
19,1.3,1,0.262364264,1986,12
20,1.4,1,0.336472237,1986,12
26.45669291,2.47,1,0.904218151,1987,13
26.06299213,1.74,1,0.553885113,1987,13
27.95275591,4.68,1,1.54329811,1987,13
26.96850394,1.55,1,0.438254931,1987,13
29.21259843,2.76,1,1.01523068,1987,13
25.90551181,1.69,1,0.524728529,1987,13
27.79527559,5.47,1,1.699278616,1987,13
27.99212598,4.56,1,1.517322624,1987,13
31.41732283,22.49,1,3.113070766,1987,13
26.1023622,2.81,1,1.033184483,1987,13
27.55905512,2.94,1,1.078409581,1987,13
25.98425197,3.05,1,1.115141591,1987,13
28.22834646,2.44,1,0.891998039,1987,13
26.37795276,1.44,1,0.364643114,1987,13
28.34645669,3.75,1,1.32175584,1987,13
