bathy,chla,D.coast,D.ice,D.inswb,D.slp,S.bathy,W.mass,A.v50,A.v75,A.v100,A.v300,A.v500,A.v300.2,A.v500.2,A.v500.3,year,Lat,Lon,MN,MN.G,BA,BA.G,TW
-775.1351,0.3546375,73246.16,50695.17,14142.14,65000,1.818789,1.308197,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.0968,-70.6028,0,0,0,0,0
-829.2805,0.3425585,69641.94,47055.82,14142.14,60207.97,0.8398742,1.298429,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.1293,-70.5487,0,0,0,0,0
-879.8294,0.4057212,65193.94,53602.71,21213.2,65764.73,0.5214409,1.373694,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.0687,-70.4013,0,0,0,0,0
-786.422,0.3942789,58591.81,57775.43,20000,68007.35,0.1539171,1.357132,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.0293,-70.2388,0,0,0,0,0
-881.106,0.1136336,17000,107109.8,5000,94339.81,1.443146,1.214368,-73.97,-64.96,-62.45,-65.18,-66.07,-66.9,-67.48,-68.41,2001,-67.8752,-68.2035,0,0,0,0,0
-378.6987,0.125421,22588.71,105376.7,0,96176.92,2.398113,1.181687,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.9098,-68.1082,0,0,0,0,0
-378.6987,0.125421,21023.8,105595.9,5000,94339.81,2.398113,1.181687,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.9033,-68.1342,0,0,0,0,0
-470.6382,0.3819435,23430.75,70103.49,7071.068,77781.74,2.040949,1.324797,-74.92,-75.77,-76.48,-74.5,-74.54,-73.94,-74.26,-74.58,2001,-68.0277,-69.3787,0,0,0,0,0
-469.5695,0.23035,15652.48,58021.55,10000,62649.82,0.3308186,1.214205,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.1948,-69.1112,0,0,0,0,0
-911.1981,0.2256633,25927.79,47023.93,10000,53851.65,2.63598,1.223724,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.2958,-69.158,0,0,0,0,0
-399.7777,0.4190819,20506.1,145211.9,29154.76,75000,0.3828771,1.364954,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.295,-69.4732,0,0,0,0,0
-482.2867,0.4189425,20524.38,152749.8,35355.34,70178.34,0.3621999,1.365982,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.2348,-69.3832,0,0,0,0,0
-487.9969,0.5752863,18384.78,169503,38078.87,58523.5,0.3792838,1.404905,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.1043,-69.1688,0,0,0,0,0
-459.4112,0.2791498,107602.3,258575.4,70710.68,32015.62,0.5726559,1.901919,-80.07,-79.97,-80.29,-75.8,-75.41,-74.85,-74.92,-74.95,2001,-66.2528,-70.323,0,0,0,0,0
-480.148,0.2817046,112305.4,261527.3,66708.32,25000,0.5726559,1.874737,-84.83,-82.09,-81.91,-69.13,-70.19,-67.86,-69.42,-73.33,2001,-66.226,-70.4105,0,0,0,0,0
-488.3004,0.2781252,117305.2,264367.2,68007.35,21213.2,0.2715056,1.810166,-83.67,-82.38,-82.94,-70.23,-71.67,-68.96,-70.96,-75.65,2001,-66.1997,-70.4993,0,0,0,0,0
-473.3728,0.2759259,122304.9,267231.2,65000,14142.14,0.1731835,1.75595,-88.08,-84.41,-80.23,-79.71,-74.25,-79.51,-73.66,-71.57,2001,-66.174,-70.5883,0,0,0,0,0
-498.9135,0.2759259,127412.7,270780.3,60827.63,7071.068,0.2128058,1.75595,NA,-77.5,-77.37,-70.54,-70.74,-69.89,-70.36,-71,2001,-66.1485,-70.679,0,0,0,0,0
-493.9955,0.2797422,132412.2,273760.8,60827.63,7071.068,4.219355,1.714631,-79.87,-78.22,-78.22,-80.12,-77.1,-80.73,-76.98,-75.01,2001,-66.1233,-70.7702,0,0,0,0,0
-884.8428,0.2854286,137707.1,276668.1,57008.77,0,4.219355,1.703873,-80.16,-81.19,-81.1,-82.63,-78.07,-83.33,-77.66,-75,2001,-66.0988,-70.8638,0,0,0,0,0
-1744.068,0.2652667,142706.9,279770,58523.5,0,10.4346,1.745359,-81.02,-82.01,-82.1,-78.94,-78.51,-78.38,-78.02,-76.89,2001,-66.0748,-70.9557,0,0,0,0,0
-170.8166,0.09015072,9500,13946.33,36055.51,31622.78,1.134699,0.4368591,-83.021,-79.587,-74.578,-59.806,-60.305,-58.561,-59.273,NA,2001,-66.2,-71.053,0,0,2,1,2
-132.2844,0.09488742,15660.46,27280.95,26925.82,30413.81,2.710243,0.8420923,-80.869,-78.852,-76.741,-58.26,-58.26,-56.916,-56.916,NA,2001,-66.22,-71.084,0,0,2,1,2
-132.2844,0.09488742,16492.42,27294.69,31622.78,35355.34,2.710243,0.8420923,-80.719,-79.178,-76.383,-55.607,-55.607,-53.647,-53.647,NA,2001,-66.296,-71.207,4,2,0,0,4
-132.2844,0.09488742,17755.28,27189.15,31622.78,35355.34,2.710243,0.8420923,-81.453,-80.109,-75.204,-51.959,-51.959,-49.993,-49.993,NA,2001,-66.422,-71.381,1,1,0,0,1
