DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
10/18/2010,NOAA,23.85,4.7,41.834,-83.364,2010,Late,0.1917
8/29/2012,NOAA,23.9,2.7,41.829,-83.198,2012,Mid,0.3273
6/11/2013,Toledo,23.9,1.6,41.734,-83.297,2013,Early,0.2032
10/1/2012,OEPA,24,,41.7267,-83.15,2012,Late,0.3483
4/29/2013,OEPA,24,,41.86035,-83.072948,2013,Early,0.4546
9/28/2012,Toledo,24.1,1.4,41.75,-83.104,2012,Late,0.3969
7/8/2010,Toledo,24.3,2.81,41.789,-83.356,2010,Mid,0.1684
10/18/2010,NOAA,24.36,6.1,41.753,-83.386,2010,Late,0.1246
9/14/2010,Toledo,24.4,1.95,41.75,-83.104,2010,Late,0.3968
8/23/2011,NOAA,24.41,1.2,41.757,-83.053,2011,Mid,0.4477
8/27/2010,Toledo,24.5,1.2,41.75,-83.103,2010,Mid,0.3976
7/11/2011,Toledo,24.5,3.07,41.75,-83.104,2011,Mid,0.3964
8/27/2012,Toledo,24.5,1.15,41.789,-83.356,2012,Mid,0.1685
7/12/2010,NOAA,24.64,2.5,41.835,-83.362,2010,Mid,0.1936
6/25/2010,Toledo,24.8,2.5,41.789,-83.357,2010,Early,0.1681
8/12/2013,OSU,24.94,1.68,41.649,-83.098,2013,Mid,0.4018
10/12/2010,ODNR,25.10000038,,41.839,-83.055,2010,Late,0.4645
8/30/2010,NOAA,25.15,1.8,41.833,-83.191,2010,Mid,0.3351
10/7/2010,NOAA,25.16,1.8,41.858,-83.251,2010,Late,0.2949
8/10/2010,Toledo,25.2,1.4,41.821,-83.185,2010,Mid,0.3355
7/6/2010,NOAA,25.3,1.5,41.841,-83.372,2010,Mid,0.1911
8/1/2011,NOAA,25.3,1,41.841,-83.359,2011,Mid,0.1996
7/3/2012,ODNR,25.4,,41.702,-83.248,2012,Mid,0.2492
8/5/2013,OSU,25.47,1.41,41.569,-82.768,2013,Mid,0.7399
9/20/2010,Toledo,25.7,1.3,41.75,-83.104,2010,Late,0.3967
5/15/2012,Toledo,25.7,1.6,41.733,-83.297,2012,Early,0.2032
5/24/2012,ODNR,26,,41.839,-83.055,2012,Early,0.4645
6/4/2012,Toledo,26,1.4,41.821,-83.186,2012,Early,0.3355
6/20/2012,Toledo,26,3.8,41.821,-83.186,2012,Early,0.3355
9/28/2012,Toledo,26,1.7,41.821,-83.186,2012,Late,0.3351
10/1/2012,OEPA,26,,41.76832,-83.3008,2012,Late,0.209
4/29/2013,OEPA,26,,41.685,-82.9333,2013,Early,0.5638
5/14/2013,OEPA,26,,41.76832,-83.3008,2013,Early,0.209
8/9/2010,NOAA,26.08,1.4,41.754,-83.317,2010,Mid,0.1896
6/21/2010,NOAA,26.23,2.4,41.885,-83.319,2010,Early,0.2593
7/12/2010,NOAA,26.23,2,41.886,-83.318,2010,Mid,0.2607
6/15/2012,Toledo,26.3,1.65,41.751,-83.104,2012,Early,0.3972
7/30/2013,Toledo,26.3,2.1,41.821,-83.186,2013,Mid,0.3354
8/2/2010,NOAA,26.33,2,41.834,-83.191,2010,Mid,0.3357
10/18/2010,NOAA,26.39,4.1,41.764,-83.403,2010,Late,0.1161
8/6/2012,NOAA,26.4,1.7,41.827,-83.194,2012,Mid,0.3295
6/22/2012,NOAA,26.61,3,41.838,-83.365,2012,Early,0.1937
5/11/2012,ODNR,26.7,,41.702,-83.248,2012,Early,0.2492
9/10/2010,NOAA,26.88,1.3,41.81,-83.256,2010,Late,0.2668
