Plot,Species,High class,Numb,type
31,???,0.5,1,tolerant
32,???,0.5,1,tolerant
38,???,1,1,tolerant
54,???,1,1,tolerant
56,???,1,1,tolerant
59,???,1,2,tolerant
61,???,1,1,tolerant
88,???,1,1,tolerant
89,???,1,1,tolerant
95,???,0.5,1,tolerant
99,???,1,1,tolerant
110,???,1,1,tolerant
111,???,1,1,tolerant
62,??,0.5,1,pioneer
81,??,1,1,pioneer
95,??,1,1,pioneer
43,???,0.5,1,pioneer
46,???,0.5,4,pioneer
48,???,0.5,1,pioneer
49,???,0.5,2,pioneer
51,???,0.5,1,pioneer
52,???,0.5,6,pioneer
53,???,0.5,3,pioneer
57,???,0.5,2,pioneer
59,???,1,1,pioneer
60,???,1,1,pioneer
60,???,0.5,2,pioneer
82,???,1,2,pioneer
82,???,0.5,1,pioneer
84,???,0.5,1,pioneer
86,???,0.5,1,pioneer
91,???,1,1,pioneer
92,???,1,2,pioneer
94,???,1,1,pioneer
98,???,0.5,1,pioneer
107,???,1,1,pioneer
113,???,1,3,pioneer
113,???,0.5,1,pioneer
14,???,0.5,2,tolerant
17,???,0.5,2,tolerant
18,???,0.5,10,tolerant
19,???,0.5,1,tolerant
20,???,0.5,7,tolerant
22,???,0.5,2,tolerant
24,???,1,2,tolerant
26,???,1,2,tolerant
29,???,0.2,2,tolerant
34,???,1,1,tolerant
37,???,1,1,tolerant
42,???,0.5,1,tolerant
52,???,0.5,2,tolerant
55,???,1,1,tolerant
55,???,0.5,4,tolerant
56,???,1,4,tolerant
56,???,0.5,2,tolerant
57,???,1,2,tolerant
61,???,0.5,2,tolerant
62,???,0.5,2,tolerant
67,???,0.5,1,tolerant
69,???,0.5,3,tolerant
70,???,0.5,3,tolerant
71,???,1,2,tolerant
71,???,0.5,4,tolerant
72,???,1,2,tolerant
72,???,0.5,4,tolerant
73,???,1,4,tolerant
73,???,0.5,2,tolerant
74,???,0.5,3,tolerant
75,???,0.5,6,tolerant
76,???,0.5,5,tolerant
77,???,0.5,1,tolerant
80,???,0.5,5,tolerant
81,???,0.5,4,tolerant
82,???,0.5,3,tolerant
85,???,1,2,tolerant
87,???,0.5,1,tolerant
95,???,1,1,tolerant
95,???,0.5,2,tolerant
97,???,0.5,1,tolerant
106,???,0.5,1,tolerant
108,???,0.5,1,tolerant
111,???,0.5,1,tolerant
18,????,0.5,1,dominant
38,????,0.5,1,dominant
40,????,1,3,dominant
42,????,0.5,1,dominant
71,????,0.5,1,dominant
72,????,1,1,dominant
79,????,1,1,dominant
82,????,0.5,2,dominant
85,????,1,1,dominant
17,????,1,3,companion
18,????,1,4,companion
21,????,0.5,1,companion
22,????,0.5,1,companion
26,????,1,1,companion
37,????,0.5,1,companion
39,????,1,4,companion
40,????,1,1,companion
42,????,0.5,2,companion
43,????,0.5,5,companion
45,????,0.5,4,companion
46,????,0.5,2,companion
47,????,0.5,2,companion
48,????,1,1,companion
52,????,0.5,1,companion
53,????,0.5,1,companion
56,????,0.5,4,companion
57,????,1,2,companion
71,????,1,1,companion
72,????,0.5,2,companion
73,????,1,1,companion
74,????,1,1,companion
78,????,0.5,1,companion
80,????,1,3,companion
82,????,0.5,2,companion
83,????,0.5,1,companion
85,????,1,1,companion
87,????,1,4,companion
87,????,0.5,1,companion
88,????,1,1,companion
94,????,1,1,companion
94,????,0.5,1,companion
95,????,0.5,3,companion
101,????,0.5,1,companion
115,????,0.5,4,companion
7,???,0.5,2,tolerant
60,???,1,1,tolerant
62,???,0.5,1,tolerant
63,???,0.5,2,tolerant
95,???,1,1,tolerant
101,???,0.5,1,tolerant
29,????,1,1,tolerant
38,????,0.5,1,tolerant
40,????,1,3,tolerant
44,????,1,1,tolerant
44,????,0.5,1,tolerant
46,????,0.5,1,tolerant
49,????,0.5,1,tolerant
71,????,0.5,1,tolerant
16,????,0.5,1,evergreen
17,????,0.5,1,evergreen
19,????,1,6,evergreen
20,????,0.5,2,evergreen
21,????,1,1,evergreen
21,????,0.5,2,evergreen
24,????,1,1,evergreen
24,????,0.5,1,evergreen
25,????,0.5,1,evergreen
21,???,0.5,1,tolerant
25,???,0.5,1,tolerant
58,???,1,1,tolerant
63,???,1,1,tolerant
64,???,1,1,tolerant
98,???,1,1,tolerant
8,???,0.5,2,tolerant
17,???,0.5,2,tolerant
18,???,0.5,4,tolerant
21,???,0.5,1,tolerant
31,???,0.5,1,tolerant
39,???,1,8,tolerant
40,???,1,,tolerant
42,???,1,2,tolerant
44,???,1,2,tolerant
45,???,0.5,2,tolerant
46,???,0.5,2,tolerant
48,???,1,1,tolerant
55,???,1,1,tolerant
57,???,1,1,tolerant
67,???,1,1,tolerant
69,???,0.5,2,tolerant
71,???,1,2,tolerant
71,???,0.5,2,tolerant
74,???,0.5,2,tolerant
77,???,1,1,tolerant
79,???,0.5,1,tolerant
108,???,1,1,tolerant
109,???,0.5,2,tolerant
118,???,0.5,4,tolerant
47,??,0.5,1,pioneer
56,??,0.5,1,pioneer
92,??,1,1,pioneer
6,????,1,1,pioneer
7,????,0.5,1,pioneer
10,????,0.5,1,pioneer
11,????,0.5,3,pioneer
12,????,1,2,pioneer
16,????,1,2,pioneer
17,????,1,2,pioneer
22,????,1,1,pioneer
25,????,1,1,pioneer
27,????,1,1,pioneer
31,????,1,1,pioneer
32,????,1,1,pioneer
37,????,1,1,pioneer
38,????,1,1,pioneer
39,????,1,1,pioneer
39,????,0.5,1,pioneer
40,????,0.5,3,pioneer
43,????,0.5,2,pioneer
44,????,0.5,1,pioneer
47,????,0.5,1,pioneer
49,????,1,1,pioneer
53,????,0.5,2,pioneer
54,????,1,1,pioneer
55,????,1,3,pioneer
57,????,1,1,pioneer
58,????,1,1,pioneer
58,????,0.5,1,pioneer
60,????,1,3,pioneer
61,????,0.5,1,pioneer
62,????,1,2,pioneer
63,????,0.5,1,pioneer
66,????,1,1,pioneer
67,????,0.5,1,pioneer
69,????,0.5,1,pioneer
70,????,1,2,pioneer
73,????,1,2,pioneer
73,????,1,1,pioneer
73,????,0.5,1,pioneer
80,????,1,1,pioneer
95,????,1,2,pioneer
108,????,1,1,pioneer
111,????,1,1,pioneer
114,????,0.5,1,pioneer
1,???,0.5,1,companion
2,???,0.5,7,companion
3,???,1,1,companion
6,???,1,2,companion
7,???,0.5,3,companion
8,???,0.5,4,companion
9,???,0.5,7,companion
10,???,0.5,1,companion
17,???,1,1,companion
21,???,0.5,1,companion
24,???,1,2,companion
26,???,1,1,companion
30,???,1,1,companion
31,???,1,1,companion
32,???,0.5,1,companion
34,???,1,1,companion
35,???,1,2,companion
37,???,1,4,companion
38,???,1,2,companion
39,???,1,2,companion
40,???,1,7,companion
42,???,0.5,5,companion
43,???,1,3,companion
44,???,1,2,companion
44,???,0.5,5,companion
45,???,0.5,1,companion
46,???,0.5,6,companion
47,???,0.5,2,companion
48,???,0.5,1,companion
51,???,1,2,companion
51,???,0.5,2,companion
52,???,0.5,3,companion
53,???,0.5,2,companion
53,???,0.5,2,companion
54,???,0.5,2,companion
55,???,1,3,companion
56,???,1,8,companion
56,???,0.5,12,companion
57,???,1,2,companion
58,???,0.5,2,companion
60,???,1,3,companion
60,???,0.5,3,companion
61,???,1,3,companion
61,???,0.5,4,companion
62,???,1,3,companion
62,???,0.5,5,companion
63,???,0.5,3,companion
64,???,1,1,companion
69,???,0.5,2,companion
70,???,0.5,1,companion
71,???,0.5,2,companion
72,???,1,3,companion
72,???,0.5,4,companion
77,???,0.5,1,companion
79,???,0.5,1,companion
80,???,0.5,1,companion
81,???,0.5,8,companion
82,???,0.5,5,companion
83,???,1,5,companion
83,???,0.5,7,companion
84,???,1,3,companion
87,???,1,3,companion
87,???,0.5,4,companion
93,???,0.5,1,companion
95,???,0.5,2,companion
102,???,1,1,companion
109,???,0.5,1,companion
110,???,1,1,companion
111,???,0.5,1,companion
114,???,1,1,companion
115,???,0.5,2,companion
117,???,1,1,companion
118,???,0.5,8,companion
120,???,0.5,5,companion
121,???,0.5,1,companion
31,????,1,1,pioneer
38,????,1,1,pioneer
39,????,1,1,pioneer
39,????,0.5,1,pioneer
40,????,0.5,1,pioneer
55,????,1,1,pioneer
58,????,0.5,1,pioneer
81,????,0.5,1,pioneer
82,????,1,2,pioneer
87,????,0.5,2,pioneer
91,????,1,1,pioneer
92,????,1,1,pioneer
92,????,1,1,pioneer
93,????,0.5,1,pioneer
7,????,0.5,2,evergreen
15,????,1,4,evergreen
16,????,1,1,evergreen
20,????,0.5,1,evergreen
23,????,1,2,evergreen
24,????,1,6,evergreen
25,????,1,6,evergreen
38,????,1,4,evergreen
50,????,0.5,1,evergreen
57,????,1,1,evergreen
57,????,1,1,evergreen
58,????,0.5,1,evergreen
60,????,0.5,1,evergreen
71,????,1,4,evergreen
75,????,1,1,evergreen
76,????,1,2,evergreen
121,????,1,3,evergreen
122,????,0.5,1,evergreen
11,???,1,1,companion
12,???,1,1,companion
13,???,1,2,companion
17,???,1,1,companion
33,???,0.5,1,companion
44,???,0.5,1,companion
53,???,0.5,1,companion
58,???,0.5,1,companion
78,???,0.5,1,companion
81,???,0.5,1,companion
32,????,1,3,companion
33,????,1,1,companion
41,????,1,2,companion
52,????,0.5,2,companion
53,????,1,1,companion
63,????,1,1,companion
87,????,1,2,companion
